locid,label,x_pct,y_pct,w_pct,h_pct,rotation_deg
r4b9,r4b9,0.6501,0.3969,0.0196,0.0097,0
r4b8,r4b8,0.6675,0.3969,0.0196,0.0097,0
r4b7,r4b7,0.6858,0.3969,0.0196,0.0097,0
r4g2,r4g2,0.5678,0.3973,0.0113,0.0177,0
r4g1,r4g1,0.7037,0.3973,0.0113,0.0177,0
r22s4,r22s4,0.0998,0.3987,0.0096,0.0044,0
r22s2,r22s2,0.2571,0.3987,0.0092,0.0044,0
p145,p145,0.0693,0.4004,0.0153,0.0217,0
f61,f61,0.746,0.4013,0.017,0.0088,0
f30,f30,0.7608,0.4013,0.017,0.0088,0
r22g2,r22g2,0.0989,0.4018,0.0096,0.0181,0
r22b16,r22b16,0.1072,0.4018,0.02,0.0093,0
r22b15,r22b15,0.1251,0.4018,0.0205,0.0093,0
r22b14,r22b14,0.1442,0.4018,0.0214,0.0093,0
r22b13,r22b13,0.1634,0.4018,0.0209,0.0093,0
r22b12,r22b12,0.1826,0.4018,0.0205,0.0093,0
r22b11,r22b11,0.2013,0.4018,0.0205,0.0093,0
r22b10,r22b10,0.2196,0.4018,0.0205,0.0093,0
r22b9,r22b9,0.2388,0.4018,0.02,0.0093,0
r22g1,r22g1,0.2575,0.4018,0.0096,0.0181,0
rd46,rd46,0.041,0.4049,0.0096,0.0204,0
r4b13,r4b13,0.5778,0.4062,0.0196,0.0097,0
r4b6,r4b6,0.5961,0.4062,0.0196,0.0097,0
r4b5,r4b5,0.6135,0.4062,0.0196,0.0097,0
r4b4,r4b4,0.6318,0.4062,0.0196,0.0097,0
r4b3,r4b3,0.6501,0.4062,0.0196,0.0097,0
r4b2,r4b2,0.6675,0.4062,0.0196,0.0097,0
r4b1,r4b1,0.6858,0.4062,0.0196,0.0097,0
p138,p138,0.2985,0.4066,0.017,0.0217,0
p106,p106,0.339,0.4066,0.017,0.0217,0
p105,p105,0.3538,0.4066,0.017,0.0217,0
p102,p102,0.3887,0.4066,0.017,0.0217,0
p101,p101,0.4035,0.4066,0.017,0.0217,0
p98,p98,0.4383,0.4066,0.017,0.0217,0
p97,p97,0.4532,0.4066,0.017,0.0217,0
f60,f60,0.746,0.4088,0.017,0.0088,0
